taxonID	datasetID	parentNameUsageID	acceptedNameUsageID	originalNameUsageID	scientificName	scientificNameAuthorship	canonicalName	genericName	specificEpithet	infraspecificEpithet	taxonRank	nameAccordingTo	namePublishedIn	taxonomicStatus	nomenclaturalStatus	taxonRemarks	kingdom	phylum	class	order	family	genus
8202684	7ddf754f-d193-4cc9-b351-99906754a03b	4298215			Larropsis granulosa G.Bohart & R.Bohart, 1962	G.Bohart & R.Bohart, 1962	Larropsis granulosa	Larropsis	granulosa		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Larropsis
7746424	7ddf754f-d193-4cc9-b351-99906754a03b	4298215			Larropsis sonora G.Bohart & R.Bohart, 1966	G.Bohart & R.Bohart, 1966	Larropsis sonora	Larropsis	sonora		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Larropsis
1401223	7ddf754f-d193-4cc9-b351-99906754a03b	1401204			Apegus ruficornus Kozlov & Kononova, 1986	Kozlov & Kononova, 1986	Apegus ruficornus	Apegus	ruficornus		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Scelionidae	Apegus
8728349	7ddf754f-d193-4cc9-b351-99906754a03b	1312205	8117620		Cerceris trichionota kalaharica (Bischoff, 1913)	(Bischoff, 1913)	Cerceris trichionota kalaharica	Cerceris	trichionota	kalaharica	subspecies			synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Cerceris
8960344	7ddf754f-d193-4cc9-b351-99906754a03b	1312205	8117620		Cerceris africana kalaharica (Bischoff, 1913)	(Bischoff, 1913)	Cerceris africana kalaharica	Cerceris	africana	kalaharica	subspecies			synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Cerceris
9088012	7ddf754f-d193-4cc9-b351-99906754a03b	1312205	8117620		Cerceris africana karooensis Brauns, 1914	Brauns, 1914	Cerceris africana karooensis	Cerceris	africana	karooensis	subspecies			synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Cerceris
4508816	90d9e8a6-0ce1-472d-b682-3451095dbc5a	1288673	1289068		Campoplex holmgrenii Dalla Torre, 1901	Dalla Torre, 1901	Campoplex holmgrenii	Campoplex	holmgrenii		species			homotypic synonym			Animalia	Arthropoda	Insecta	Hymenoptera	Ichneumonidae	Dusona
1401224	7ddf754f-d193-4cc9-b351-99906754a03b	1401204			Apegus rufosus Kozlov & Kononova, 1986	Kozlov & Kononova, 1986	Apegus rufosus	Apegus	rufosus		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Scelionidae	Apegus
1402140	7ddf754f-d193-4cc9-b351-99906754a03b	1402139			Thoronidea taino Masner & Huggert, 1979	Masner & Huggert, 1979	Thoronidea taino	Thoronidea	taino		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Scelionidae	Thoronidea
7521401	7ddf754f-d193-4cc9-b351-99906754a03b	4298215			Larropsis uniformis G.Bohart & R.Bohart, 1966	G.Bohart & R.Bohart, 1966	Larropsis uniformis	Larropsis	uniformis		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Larropsis
1401222	7ddf754f-d193-4cc9-b351-99906754a03b	1401204			Apegus robustus Kononova & Petrov, 2003	Kononova & Petrov, 2003	Apegus robustus	Apegus	robustus		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Scelionidae	Apegus
5041377	7ddf754f-d193-4cc9-b351-99906754a03b	1339019			Chlorion striatum Li & Yang, 1989	Li & Yang, 1989	Chlorion striatum	Chlorion	striatum		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Sphecidae	Chlorion
8005382	7ddf754f-d193-4cc9-b351-99906754a03b	4298215			Larropsis hurdi G.Bohart & R.Bohart, 1962	G.Bohart & R.Bohart, 1962	Larropsis hurdi	Larropsis	hurdi		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Larropsis
8529839	c33ce2f2-c3cc-43a5-a380-fe4526d63650	4671698			Gurvanotrupes liaoningensis Zhang & Zhang, 2000	Zhang & Zhang, 2000	Gurvanotrupes liaoningensis	Gurvanotrupes	liaoningensis		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Proctotrupidae	Gurvanotrupes
7935501	7ddf754f-d193-4cc9-b351-99906754a03b	4298215			Larropsis shappirioi G.Bohart & R.Bohart, 1962	G.Bohart & R.Bohart, 1962	Larropsis shappirioi	Larropsis	shappirioi		species			accepted			Animalia	Arthropoda	Insecta	Hymenoptera	Crabronidae	Larropsis
